,electricity,coal,natural gas,biomass,petroleum diesel,heat
CO2,0,0.089720103 ,0.058673344 ,0.096731702 ,0.076581581 ,0
VOC,0,0.000004927 ,0.000005275 ,0.000000593 ,0.000003017 ,0
CO,0,0.000755972 ,0.000010370 ,0.000000000 ,0.000019271 ,0
NOx,0,0.000201593 ,0.000052147 ,0.000069863 ,0.000237674 ,0
PM10,0,0.000000000 ,0.000029629 ,0.000000000 ,0.000024706 ,0
PM25,0,0.000000000 ,0.000029629 ,0.000000000 ,0.000024706 ,0
SOx,0,0.000610877 ,0.000000252 ,0.000041977 ,0.000279590 ,0
BC,0,0.000014454 ,0.000000000 ,0.000000169 ,0.000001857 ,0
OC,0,0.000002880 ,0.000000000 ,0.000000399 ,0.000000766 ,0
CH4,0,0.000001246 ,0.000001060 ,0.000009865 ,0.000000198 ,0
N2O,0,0.000000857 ,0.000000750 ,0.000006107 ,0.000000918 ,0
F gases,0,0,0,0,0,0
